gene,uniprot_id,log2_apoe2_over_apoe3,qvalue,comparison
CUL7,Q14999,0.618118451109116,0.00826702758177757,APOE2 / APOE3
MARCKSL1,P49006,0.617900892994666,2.23347138420128e-05,APOE2 / APOE3
IGF2R,P11717,-0.617436996820401,4.68370481346718e-07,APOE2 / APOE3
DPP7,Q9UHL4,0.614731580788109,6.57527546336075e-07,APOE2 / APOE3
PTX3,P26022,0.613137735614583,0.000132851664001841,APOE2 / APOE3
DCAF13,Q9NV06,-0.612858822159862,0.0441206464241362,APOE2 / APOE3
HTRA1,Q92743,0.608686090089645,0.015366694722537,APOE2 / APOE3
TP53BP1,Q12888,0.606949434598008,0.00076980534250615,APOE2 / APOE3
PRDX4,Q13162,-0.606933621098531,0.0143939313375888,APOE2 / APOE3
HDAC7,Q8WUI4,-0.606746649505257,0.0290376530939083,APOE2 / APOE3
ME2,P23368,-0.603488131563885,0.005090241555743,APOE2 / APOE3
GLIPR1,P48060,-0.602993671456565,0.00870600742183947,APOE2 / APOE3
GBE1,Q04446,-0.598847299479516,0.0386722587820509,APOE2 / APOE3
TMED4,Q7Z7H5,-0.597022211156168,0.0271602803448706,APOE2 / APOE3
F2,P00734,-0.595394257152637,0.0162554501246852,APOE2 / APOE3
ARPIN,Q7Z6K5,0.591766642706835,0.0120061572669228,APOE2 / APOE3
CSRP1,P21291,0.591447448673523,0.00258201603162435,APOE2 / APOE3
CMBL,Q96DG6,0.591121102642753,0.000587497610823456,APOE2 / APOE3
SVIL,O95425,0.589158171981525,0.00310563849400557,APOE2 / APOE3
EPHB2,P29323,0.587525034963996,0.000731099890466239,APOE2 / APOE3
BCCIP,Q9P287,-0.585915513566622,0.0332991623115499,APOE2 / APOE3
MRPL9,Q9BYD2,-0.585538909594821,0.0239120388908237,APOE2 / APOE3
AKAP12,Q02952,0.583617682907693,2.34564681406905e-05,APOE2 / APOE3
RRM2,P31350,-0.580829400381704,0.00152664347620923,APOE2 / APOE3
HBA1,P69905,-0.580622811410435,0.00151049376312964,APOE2 / APOE3
