symbol,uniprot_id,log2_age4_over_age1,adj_p_val,cluster
CDS2,O95674,0.391060006979998,0.0012009163741102,Increased in senescence
CELF2,A0A0J9YXJ0,1.53984319447385,5.98645781814605e-06,Increased in senescence
CEMIP2,Q9UHN6,0.339810995037041,0.00664524217047177,Increased in senescence
CEND1,Q8N111,0.627071881260115,0.000315375710523388,Increased in senescence
CEP170B,Q9Y4F5,0.358342557568967,0.00257058575261552,Increased in senescence
CEP250,Q9BV73,0.593907734429004,0.00192012232617134,Increased in senescence
CEPT1,Q9Y6K0,0.378764494579219,0.00308899006075081,Increased in senescence
CERCAM,Q5T4B2,0.592131305269426,9.89090022673529e-05,Increased in senescence
CES2,O00748,0.669701500774522,0.000307534870866779,Increased in senescence
CHCHD6,Q9BRQ6,0.836974663986496,5.68800654407534e-05,Increased in senescence
CHM,P24386,0.387467136989461,0.0071826571942031,Increased in senescence
CHN1,P15882,0.817161807476108,0.00294395239698461,Increased in senescence
CIAO3,Q9H6Q4,0.485337823562368,0.000621155066334571,Increased in senescence
CKB,P12277,0.733736001971064,0.000393582001644687,Increased in senescence
CLCN3,P51790,0.432802231662233,0.00234936209227816,Increased in senescence
CLCN6,P51797,0.372369191797638,0.00171472713197377,Increased in senescence
CLCN7,P51798,0.383338853536671,0.000880481480758557,Increased in senescence
CLPB,Q9H078,0.393996096552577,0.00217152081219745,Increased in senescence
CMAS,Q8NFW8,0.499048770699435,0.000889598190691753,Increased in senescence
CMBL,Q96DG6,0.442102391339699,0.000697263379730224,Increased in senescence
CNNM2,Q9H8M5,0.368337150850056,0.00452009483444382,Increased in senescence
CNPY4,Q8N129,0.357068524971211,0.00369229410288929,Increased in senescence
CNST,Q6PJW8,0.520136433126723,0.000973100740493882,Increased in senescence
COA1,Q9GZY4,0.616079267500215,0.0084078203853438,Increased in senescence
COA7,Q96BR5,0.607458176416376,0.00878090895824201,Increased in senescence
COG6,Q9Y2V7,0.333488104451241,0.00158574514525229,Increased in senescence
COG8,Q96MW5,0.429606338716223,0.00194371894266298,Increased in senescence
COL11A1,P12107,1.72323999931151,5.14661079433636e-05,Increased in senescence
COL12A1,Q99715,0.810500390555276,7.27842418534052e-05,Increased in senescence
COL16A1,Q07092,0.51934342014415,0.00532471960955337,Increased in senescence
COL18A1,P39060,1.35762464622275,5.57080782437712e-06,Increased in senescence
COL1A1,P02452,0.835218212623019,0.000318639539616361,Increased in senescence
COL1A2,P08123,0.855121226270878,9.96380413869021e-05,Increased in senescence
COL3A1,P02461,0.634657294270575,0.00291070594126605,Increased in senescence
COL4A1,P02462,0.571795098273867,0.000235329563174438,Increased in senescence
COL5A1,P20908,0.837004916942451,9.92500516211712e-05,Increased in senescence
COL5A2,P05997,0.716360761939146,0.000266881930321696,Increased in senescence
COL6A1,P12109,0.87348196833906,3.998757654812e-05,Increased in senescence
COL6A2,P12110,0.763850202080466,9.92500516211712e-05,Increased in senescence
COL6A3,P12111,0.699768534944027,0.000140226023610847,Increased in senescence
COL7A1,Q02388,1.04574384078644,1.2403755998998e-05,Increased in senescence
COL8A1,P27658,0.749114322746525,0.000182624311652777,Increased in senescence
COQ8B,Q96D53,0.348297711094617,0.00300500633890303,Increased in senescence
COQ9,O75208,0.388666097348427,0.00622075678895394,Increased in senescence
CORO2A,Q92828,0.573903758035531,0.000612511884675204,Increased in senescence
CORO2B,Q9UQ03,0.50604557749719,0.000621289070639988,Increased in senescence
COX1,P00395,0.48144476275235,0.00630418642076566,Increased in senescence
COX14,Q96I36,0.484696563214282,0.00447194833864337,Increased in senescence
COX2,P00403,0.452529834131347,0.00216008138988245,Increased in senescence
COX20,Q5RI15,0.365052875681947,0.00730069616395191,Increased in senescence
COX3,P00414,0.512976617243396,0.00579331751383586,Increased in senescence
COX4I1,P13073,0.33765611089575,0.00962228612575311,Increased in senescence
COX5A,P20674,0.499562568990715,0.00328964602001511,Increased in senescence
COX6B1,P14854,0.49207860505765,0.00118306679486482,Increased in senescence
COX6C,P09669,0.586754047521346,0.00318108223363101,Increased in senescence
COX7A2,P14406,0.701406840459089,0.000462678310593977,Increased in senescence
COX7B,P24311,0.80238291500001,0.00184243120363354,Increased in senescence
COX7C,P15954,0.667109802060537,0.00582745277787942,Increased in senescence
CPA4,Q9UI42,0.882862229364768,9.88772722146106e-05,Increased in senescence
CPD,O75976,0.367649995706287,0.00236243987035656,Increased in senescence
CPNE7,Q9UBL6,1.09733816269219,2.99422046092158e-05,Increased in senescence
CPOX,P36551,0.467052889930255,0.00150205548393005,Increased in senescence
CPPED1,Q9BRF8,0.561419520864636,0.000619067368463525,Increased in senescence
CPQ,Q9Y646,0.481410238182036,0.00216008138988245,Increased in senescence
CPS1,P31327,0.905598131712047,0.000148656048592947,Increased in senescence
CPT2,P23786,0.493606089426393,0.000378274683815821,Increased in senescence
CRABP2,P29373,0.52247198923466,0.0017030084278284,Increased in senescence
CRACD,Q6ZU35,0.690700238545908,0.000698015653876555,Increased in senescence
CRAT,P43155,0.481359806413778,0.000323366302897205,Increased in senescence
CRYBG1,Q9Y4K1,1.50143267692225,5.98645781814605e-06,Increased in senescence
CRYZL1,O95825,0.366326350567107,0.0049384667482523,Increased in senescence
CST3,P01034,0.720859776481461,0.000269867994735895,Increased in senescence
