Species,order,CMR,ICM,lifeexp,FemaleMeanMass,MaleMeanMass,Animal,Vertebrate,Invertebrate,Fish,Herptile,Bird,Mammal
Tapirus_terrestris,Perissodactyla,0.023809523809524,0.008015926674209,5960.32712463179,224.152836134118,190.473526862483,0,0,0,0,0,0,0
Theropithecus_gelada,Primates,0,0,5585.55779651899,13.6452768671875,22.3889956907052,0,0,0,0,0,0,0
Tragelaphus_angasii,Artiodactyla,0.019607843137255,0.010195515212857,2412.19296984124,59.7447405371938,98.2892485427451,0,0,0,0,0,0,0
Tragelaphus_eurycerus,Artiodactyla,0.042253521126761,0.029355348196868,2899.29293571733,209.603594256481,290.410103368554,0,0,0,0,0,0,0
Tragelaphus_imberbis,Artiodactyla,0.052631578947368,0.069334124381957,2455.94634079312,63.6421922749515,81.7623669470882,0,0,0,0,0,0,0
Tragelaphus_oryx,Artiodactyla,0.014705882352941,0.006793695758092,3094.01046914031,338.431625907242,407.61551475063,0,0,0,0,0,0,0
Tragelaphus_strepsiceros,Artiodactyla,0.033613445378151,0.032075872653516,2528.43963758436,158.074631064924,228.849110618592,0,0,0,0,0,0,0
Tragulus_javanicus,Artiodactyla,0,NA,2498.25182536074,1.82991498127341,1.599390625,0,0,0,0,0,0,0
Tupaia_belangeri,Scandentia,0.125,0.096262762472267,1754.06252222378,0.183108146101903,0.200349304347826,1,0,1,0,0,0,0
Ursus_arctos,Carnivora,0.1,0.066686742784163,6957.18229781846,202.120866361605,328.986317843434,1,1,1,1,0,0,1
Ursus_maritimus,Carnivora,0.045454545454546,0.048881568369799,7678.25040198708,259.359364517291,430.161886625723,1,1,0,1,0,0,1
Varecia_rubra,Primates,0.185185185185185,0.156497696683702,6441.78292562609,3.84479158791442,3.64633594559663,0,0,0,0,0,0,0
Varecia_variegata,Primates,0.065934065934066,0.074174266804926,5743.56720033704,3.97174872931971,3.64701499162799,0,0,0,0,0,0,0
Vulpes_zerda,Carnivora,0.142857142857143,0.148103890372246,3451.82753465985,1.32742573968549,1.39856003743,1,1,1,0,1,1,1
Zalophus_californianus,Carnivora,0.088888888888889,0.149086184048837,5914.62309286763,86.9450635825021,196.760146148244,NA,NA,NA,NA,NA,NA,NA
