compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id
p-fluorophenylalanine,Mus musculus,CBA,0.08 mM water,1 month,4 weeks,-3,NS,,NA,Female,-4,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,2 mM water,12 months,4 weeks,3,NS,,NA,Male,-4,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,0.4 mM water,12 months,4 weeks,0,NS,,NA,Male,-7,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,0.08 mM water,12 months,4 weeks,-8,NS,,NA,Male,-2,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,2 mM water,1 month,4 weeks,-10,NS,,NA,Male,6,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,0.4 mM water,1 month,4 weeks,-15,S,,NA,Male,7,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,0.08 mM water,1 month,4 weeks,-6,NS,,NA,Male,5,NA,No,689376
Hexachlorophene,Mus musculus,XVII/G,150 ppm food,1 month,until death,-7,NS,,NA,Female,,NA,No,728888
Hexachlorophene,Mus musculus,XVII/G,150 ppm food,1 month,until death,9,NS,,NA,Male,,NA,No,728888
Hexachlorophene,Mus musculus,C57B1,150 ppm food,1 month,until death,-9,NS,,NA,Female,,NA,No,728888
Hexachlorophene,Mus musculus,C57B1,150 ppm food,1 month,until death,6,NS,,NA,Male,,NA,No,728888
EGTA,Mytilina brevispina,,0.25% on alternate days,,,75.9,NA,,NA,Unknown,,NA,No,804507
Tartrate,Mytilina brevispina,,0.25% on alternate days,,,43.7,NA,,NA,Unknown,,NA,No,804507
Edetate Calcium Disodium,Mytilina brevispina,,0.25% on alternate days,,,49.4,NA,,NA,Unknown,,NA,No,804507
Citrate,Mytilina brevispina,,0.25% on alternate days,,,51.7,NA,,NA,Unknown,,NA,No,804507
Dehydroascorbic acid,Drosophila melanogaster,Oregon-R,0.01 M,,,0,NS,,NA,Male,,NA,No,819283
Dehydroascorbic acid,Drosophila melanogaster,Oregon-R,0.001 M,,,0,NS,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.1 M,,,-4.3,NA,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.05 M,,,-6.5,NA,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.01 M,,,-8.7,NA,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.1 M,,,-5,NA,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.01 M,,,0,NS,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.001 M,,,0,NS,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.0001 M,,,0,NS,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.05 M,,,-12.8,NA,,NA,Female,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.1 M,,,-6.9,NA,,NA,Female,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.001 M,,,2,NA,,NA,Female,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.05 M,,,-4.4,NA,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.1 M,,,-1.1,NA,,NA,Male,,NA,No,819283
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.001 M,,,-5.4,NA,,NA,Male,,NA,No,819283
Levodopa,Mus musculus,Swiss Albino,40000 ppm food,1 month,until death,28,S,12,S,Male,-13,NS,No,850799
